scheme_name,scheme_slug,department,level,state_name,min_age,max_age,gender,max_income,is_student_only,target_occupations,allowed_categories,description,eligibility_text,benefits,application_url
"Yuva Nidhi Scheme (Karnataka)","yuva-nidhi-karnataka","Department of Employment Karnataka","State","Karnataka",21,30,"All",300000,false,"Unemployed","All","Unemployment stipend for fresh graduates and diploma holders residing in Karnataka.","Unemployed graduates/diploma holders passed out in recent academic year residing in Karnataka.","Rs 3000/month for degree graduates and Rs 1500/month for diploma holders up to 2 years.","https://sevasindhuservices.karnataka.gov.in"
"Subhadra Yojana (Odisha)","subhadra-yojana-odisha","Department of Women and Child Development Odisha","State","Odisha",21,60,"Female",250000,false,"All","All","Financial empowerment scheme providing vouchers to women in Odisha.","Women citizens of Odisha aged 21 to 60 years.","Rs 5000 per installment twice a year totaling Rs 50,000 over 5 years.","https://subhadra.odisha.gov.in"
"PM Vishwakarma Yojana","pm-vishwakarma-yojana","Ministry of Micro Small & Medium Enterprises","Central","All India",18,65,"All",300000,false,"Artisan;Self Employed","All","Comprehensive support scheme for traditional artisans and craftspeople across India.","Artisans working with hands & tools in 18 traditional trades aged 18+.","Collateral-free enterprise credit up to Rs 3 Lakhs at 5% interest rate + Rs 15,000 tool kit incentive.","https://pmvishwakarma.gov.in"
"National Social Assistance Programme (NSAP) Old Age Pension","nsap-old-age-pension","Ministry of Rural Development","Central","All India",60,100,"All",100000,false,"All","All","Monthly pension support for senior citizens belonging to below poverty line households.","BPL senior citizens aged 60 years and above.","Rs 1000 to Rs 1500 monthly pension assistance depending on age tier.","https://nsap.nic.in"
"Chief Minister Self Employment Scheme (UP)","cm-self-employment-up","Department of Micro Small & Medium Enterprises UP","State","Uttar Pradesh",18,45,"All",400000,false,"Unemployed;Artisan;Self Employed","All","Margin money subsidy scheme for educated unemployed youth in Uttar Pradesh to set up business.","Youth aged 18-45 residing in UP with minimum 8th class pass qualification.","Up to 25% project cost subsidy (max Rs 6.25 Lakhs) for setting up micro enterprise.","https://msme.up.gov.in"
"Post-Matric Scholarship for ST Students","post-matric-scholarship-st","Ministry of Tribal Affairs","Central","All India",15,30,"All",250000,true,"Student;All","ST","Financial assistance for ST students pursuing post-secondary education.","ST category students with family annual income up to 2.5 Lakhs enrolled in recognized colleges.","Full reimbursement of tuition fees and book bank allowance.","https://tribal.gov.in"
"Stand Up India Scheme","stand-up-india","Ministry of Finance","Central","All India",18,65,"All",1500000,false,"Artisan;Self Employed;All","SC;ST;Female","Bank loans between 10 Lakhs and 1 Crore to SC ST and Women borrowers for greenfield enterprise.","SC/ST and Women entrepreneurs setting up greenfield manufacturing/trading ventures.","Loans from 10 Lakhs to 1 Crore with minimal margin money requirement.","https://www.standupmitra.in"
"Pradhan Mantri Matru Vandana Yojana","pm-matru-vandana-yojana","Ministry of Women and Child Development","Central","All India",19,45,"Female",800000,false,"All","All","Maternity benefit program offering cash incentive for pregnant women and lactating mothers.","Pregnant women and lactating mothers aged 19-45 for first live birth.","Cash incentive of Rs 5000 in three installments for health & nutrition support.","https://wcd.nic.in"
"Amrit Bharat Station Scheme","amrit-bharat-station","Ministry of Railways","Central","All India",18,100,"All",2000000,false,"All","All","Scheme for modernization and master planning of railway stations across the country.","All citizens and commuters using Indian Railways infrastructure.","Upgraded passenger amenities, accessible stations, and modern waiting halls.","https://indianrailways.gov.in"
"Mukhyamantri Yuva Swavalamban Yojana (Gujarat)","mysy-gujarat","Education Department Gujarat","State","Gujarat",17,25,"All",600000,true,"Student;All","All","Financial assistance for higher education of bright students in Gujarat.","Students securing 80+ percentile in 10th/12th standard with family income up to 6 Lakhs.","50% tuition fee subsidy up to Rs 2 Lakhs per year + hostel allowance.","https://mysy.guj.nic.in"
